Date,Product,Region,Sales
2023-01-01,Laptop,East,1200
2023-01-02,Mouse,East,25
2023-01-03,Keyboard,West,75
2023-01-04,Monitor,North,300
2023-01-05,Laptop,South,1350
2023-01-06,Mouse,West,30
2023-01-07,Monitor,East,290
2023-01-08,Keyboard,North,80
2023-01-09,Laptop,East,1250
2023-01-10,Mouse,South,22
2023-01-11,Monitor,West,310
2023-01-12,Keyboard,East,78
2023-01-13,Laptop,North,1300
2023-01-14,Mouse,North,28
2023-01-15,Keyboard,South,72
2023-01-16,Monitor,South,285
2023-01-17,Laptop,West,1400
2023-01-18,Mouse,East,26
2023-01-19,Keyboard,West,70
2023-01-20,Monitor,North,320
